Call Sign,Zone,Frequency,Band,SNR,Timestamp,Spotter
RW9QA,17,24919.00,12,-3,1728058126.208033,VE3EID
IZ4OSH,15,24919.00,12,+9,1728058126.210574,VE3EID
F4SNF,14,24919.00,12,-9,test,VE3EID
IU1MRD,15,24919.00,12,-1,1728058142.284674,VE3EID
YU3A,15,28074.00,10,+6,1728058144.591909,VE3EID
K5PLH,4,28074.00,10,+3,1728058144.59431,VE3EID
F4IDN,14,28074.00,10,-7,1728058144.636618,VE3EID
W7NEE,3,28074.00,10,+3,1728058144.735511,VE3EID
HB9HZC,14,21140.00,15,-14,1728058145.308379,VE3EID
IU0SPU,15,21140.00,15,+12,1728058145.31202,VE3EID
EA3FYO,14,21140.00,15,+15,1728058145.383956,VE3EID
R9GB,17,21140.00,15,+3,1728058145.481905,VE3EID
OZ2LP,14,21140.00,15,+4,1728058145.485029,VE3EID
BD4UJ,24,14080.00,20,-7,1728058145.71927,VE3EID
G4DBW,14,28180.00,10,+7,1728058145.805821,VE3EID
RA3UEV,16,28180.00,10,-6,1728058145.923333,VE3EID
R6NH,16,28180.00,10,+9,1728058146.026436,VE3EID
UR5FS,16,28180.00,10,+5,1728058146.129228,VE3EID
YL2GJX,15,28180.00,10,-4,1728058146.382312,VE3EID
DF1KG,14,28180.00,10,-2,1728058146.384745,VE3EID
JN1IIR,25,18100.00,17,-12,1728058150.735747,VE3EID
I1UWF,15,18095.00,17,-3,1728058150.776469,VE3EID
S57AM,15,24915.00,12,-10,1728058154.934142,VE3EID
NS0Q,4,21140.00,15,-11,1728058155.141348,VE3EID
RV3LO,16,21140.00,15,+16,1728058155.266074,VE3EID
EI3CTB,14,21140.00,15,-6,1728058155.379502,VE3EID
HG3FMZ,15,21140.00,15,-3,1728058155.381995,VE3EID
VE3ARF,4,24919.00,12,+1,1728058155.509048,VE3EID
W7WHO,3,24919.00,12,-4,1728058155.511556,VE3EID
IR1RVDB,15,24919.00,12,+1,1728058155.512577,VE3EID
US4IQ,16,24919.00,12,+1,1728058155.618746,VE3EID
RW4PU,16,24919.00,12,+7,1728058155.621291,VE3EID
PY4PTO,11,21140.00,15,-12,1728058155.62228,VE3EID
K7CAH,3,14074.00,20,-1,1728058155.854656,VE3EID
PD1DRE,14,14074.00,20,-11,1728058156.007878,VE3EID
PD2HVT,14,14074.00,20,-9,1728058156.124295,VE3EID
CT1BFP,14,28180.00,10,+4,1728058156.408951,VE3EID
KJ6SDF,3,28180.00,10,-13,1728058156.411628,VE3EID
OK4YL,15,28180.00,10,+3,1728058156.412948,VE3EID
PY2MIG,11,28180.00,10,-12,1728058156.500021,VE3EID
PY5JO,11,28180.00,10,-5,1728058156.502463,VE3EID
KA9JCP,4,28180.00,10,-17,1728058156.637663,VE3EID
PC2J,14,28180.00,10,+10,1728058156.640663,VE3EID
EA3CXN,14,28180.00,10,-2,1728058156.642166,VE3EID
RU4SO,16,28180.00,10,-7,1728058156.752725,VE3EID
EA5KT,14,28180.00,10,+2,1728058156.755686,VE3EID
F5JQF,14,28180.00,10,+5,1728058156.757927,VE3EID
OK2UQE,15,28180.00,10,-8,1728058156.75927,VE3EID
EA3VM,14,28180.00,10,+10,1728058158.470578,VE3EID
ZS4JAN,38,28180.00,10,+4,1728058158.473063,VE3EID
WB5N,4,28180.00,10,+4,1728058158.560497,VE3EID
M3DCJ,14,28180.00,10,+1,1728058158.56338,VE3EID
OK1WCF,15,28180.00,10,+7,1728058158.692198,VE3EID
W0QL,4,28180.00,10,-11,1728058158.694931,VE3EID
SV2BRA,20,28180.00,10,+1,1728058158.696131,VE3EID
IK0FUX,15,21140.00,15,+12,1728058158.926407,VE3EID
DK4RH,14,21140.00,15,-3,1728058158.929076,VE3EID
SA7BXO,14,21140.00,15,-3,1728058159.030993,VE3EID
K3NT,4,24919.00,12,+36,1728058160.362593,VE3EID
F1PDX,14,24919.00,12,+7,1728058160.448408,VE3EID
DM5EE/QRP,14,18095.00,17,-9,1728058160.581486,VE3EID
DF0NN,14,24919.00,12,+5,1728058160.585191,VE3EID
KE6XL,3,24915.00,12,+3,1728058164.66209,VE3EID
SP9THO,15,24915.00,12,+2,1728058164.698747,VE3EID
IZ6BXV,15,24915.00,12,+0,1728058165.174264,VE3EID
F4GWN,14,24915.00,12,-6,1728058165.209981,VE3EID
K6EV,3,14074.00,20,-12,1728058165.70744,VE3EID
DL3EBJ,14,14074.00,20,-19,1728058165.710072,VE3EID
JK1BSZ,25,14074.00,20,-24,1728058165.812657,VE3EID
IK6FBB,15,21074.00,15,-5,1728058168.758177,VE3EID
N7RSC,3,21074.00,15,-11,1728058168.761046,VE3EID
LB9YI,14,21074.00,15,-8,1728058168.834005,VE3EID
